Día,Precio (€),product_name,brand,quantity,volume_weight,units,subcategory,distinction,eco,category_name,supermarket_name,url
21/07/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
31/07/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
01/08/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
04/08/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
07/08/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
19/08/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
20/08/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
30/08/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
29/09/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
30/09/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
01/10/2024,2.11,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
14/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
15/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
16/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
17/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
18/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
21/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
23/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
24/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
25/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
26/10/2024,2.15,letona leche fresca semidesnatada botella 1 l,letona,,1.0,l,leche vaca,semidesnatada fresca,False,leche,hipercor,https://super.facua.org/hipercor/leche/letona-leche-fresca-semidesnatada-botella-1-l/
