,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
1,16/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
2,17/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
3,18/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
4,19/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
5,20/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
6,21/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
7,22/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
8,23/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
9,24/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
10,25/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
11,26/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
12,27/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
13,28/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
14,29/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
15,30/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
16,31/08/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
17,01/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
18,02/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
19,03/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
20,04/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
21,05/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
22,06/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
23,07/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
24,08/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
25,09/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
26,10/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
27,11/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
28,12/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
29,13/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
30,14/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
31,15/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
32,16/09/2024,8.70,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,6,1.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/president-leche-semidesnatada-de-vaca-de-origen-100-espanol-6-x-15-l/
