,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
1,16/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
2,17/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
3,18/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
4,19/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
5,20/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
6,21/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
7,22/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
8,23/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
9,24/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
10,25/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
11,26/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
12,27/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
13,28/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
14,29/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
15,30/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
16,31/07/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
17,01/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
18,02/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
19,03/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
20,04/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
21,05/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
22,06/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
23,07/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
24,08/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
25,09/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
26,10/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
27,11/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
28,12/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
29,13/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
30,14/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
31,15/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
32,16/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
33,17/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
34,18/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
35,19/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
36,20/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
37,21/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
38,22/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
39,23/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
40,24/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
41,25/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
42,26/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
43,27/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
44,28/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
45,29/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
46,30/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
47,31/08/2024,4.50,Central Lechera Asturiana Leche De Vaca Semidesnatada De Origen Español 6 X 500 Ml.,6,0.5,l,leche,alcampo,https://super.facua.org/alcampo/leche/central-lechera-asturiana-leche-de-vaca-semidesnatada-de-origen-espanol-6-x-500-ml/
