,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
1,16/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
2,17/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
3,18/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
4,19/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
5,20/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
6,21/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
7,22/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
8,23/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
9,24/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
10,25/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
11,26/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
12,27/07/2024,3.75,Leche Entera De Cabra Pasteurizada Ecológica Carrefour Bio 750 Ml.,,0.75,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-entera-de-cabra-pasteurizada-ecologica-carrefour-bio-750-ml-/
