,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,02/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
1,11/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
2,12/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
3,13/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
4,14/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
5,15/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
6,16/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
7,17/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
8,18/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
9,19/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
10,20/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
11,21/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
12,22/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
13,23/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
14,24/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
15,25/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
16,26/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
17,27/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
18,28/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
19,29/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
20,30/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
21,31/07/2024,16.35,Olivar De Segura Aceite De Oliva Virgen Extra Ecológico Botella 1 L,,1.0,l,aceite_de_oliva,hipercor,https://super.facua.org/hipercor/aceite-de-oliva/olivar-de-segura-aceite-de-oliva-virgen-extra-ecologico-botella-1-l/
