,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
1,16/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
2,17/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
3,18/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
4,19/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
5,20/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
6,21/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
7,22/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
8,23/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
9,24/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
10,25/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
11,26/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
12,27/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
13,28/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
14,29/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
15,30/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
16,31/07/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
17,01/08/2024,2.39,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
18,02/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
19,03/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
20,04/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
21,05/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
22,06/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
23,07/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
24,08/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
25,09/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
26,10/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
27,11/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
28,12/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
29,13/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
30,14/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
31,15/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
32,16/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
33,17/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
34,18/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
35,19/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
36,20/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
37,21/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
38,22/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
39,23/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
40,24/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
41,25/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
42,26/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
43,27/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
44,28/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
45,29/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
46,30/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
47,31/08/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
48,01/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
49,02/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
50,03/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
51,04/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
52,05/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
53,06/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
54,07/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
55,08/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
56,09/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
57,10/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
58,11/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
59,12/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
60,13/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
61,14/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
62,15/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
63,16/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
64,17/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
65,18/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
66,19/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
67,20/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
68,21/09/2024,2.29,"Leche Semidesnatada Asturiana, Botella 2,2 Litros",,2.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-semidesnatada-asturiana-botella-22-litros/
