,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
1,16/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
2,17/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
3,18/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
4,19/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
5,20/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
6,21/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
7,22/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
8,23/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
9,24/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
10,25/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
11,26/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
12,27/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
13,28/07/2024,1.17,"Leche Evaporada Ideal, Brik 210 G",,210.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-evaporada-ideal-brik-210-g/
