,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
1,16/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
2,17/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
3,18/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
4,19/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
5,20/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
6,21/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
7,22/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
8,23/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
9,24/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
10,25/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
11,26/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
12,27/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
13,28/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
14,29/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
15,30/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
16,31/07/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
17,01/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
18,03/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
19,04/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
20,05/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
21,06/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
22,07/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
23,08/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
24,09/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
25,10/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
26,11/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
27,12/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
28,13/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
29,14/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
30,15/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
31,16/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
32,17/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
33,18/08/2024,2.49,"Leche Entera Kaiku Disney, Pack 6X200 Ml",6,0.2,l,leche,eroski,https://super.facua.org/eroski/leche/leche-entera-kaiku-disney-pack-6x200-ml/
